x,y,theta
-0.1662,-0.142,-0.02
-0.1399,-0.178,-0.03
-0.1556,-0.1672,0.01
-0.1633,-0.117,0.07
-0.1359,-0.1196,0.07
-0.1022,-0.1441,0.01
-0.1148,-0.1419,-0.01
-0.1513,-0.1195,0.02
-0.1069,-0.1364,0.1
-0.0833,-0.1641,0.1
-0.1,-0.1543,0.07
-0.14,-0.1373,0.04
-0.1382,-0.1531,0.06
-0.0976,-0.1675,0.12
-0.1222,-0.1338,0.1
-0.1485,-0.1083,0.04
-0.1421,-0.1381,0.02
-0.1122,-0.1614,0.05
-0.1143,-0.1354,0.08
-0.149,-0.1136,0.07
-0.1409,-0.1457,0.04
-0.1189,-0.1804,0.03
-0.1261,-0.1485,0.09
-0.1531,-0.1209,0.11
-0.1492,-0.1405,0.08
-0.1183,-0.1741,0.04
-0.1294,-0.1553,0.08
-0.1521,-0.1385,0.1
-0.1393,-0.1592,0.08
-0.1069,-0.1929,0.03
-0.1238,-0.1758,0.01
-0.1464,-0.1292,0.05
-0.1259,-0.152,0.06
-0.0914,-0.1818,-0.02
-0.0632,-0.1987,-0.08
-0.0615,-0.1601,-0.02
-0.0662,-0.141,0.09
-0.0537,-0.1568,0.12
-0.0283,-0.1824,0.03
-0.0263,-0.1864,-0.08
-0.0423,-0.1569,-0.01
-0.045,-0.1565,0.07
-0.0191,-0.1685,0.02
0.0018,-0.1854,-0.05
-0.0078,-0.1725,-0.09
-0.0174,-0.1491,-0.03
-0.0139,-0.1696,0
0.0109,-0.1942,-0.07
0.0051,-0.1939,-0.09
0.0183,-0.1873,-0.02
0.0424,-0.1995,0.03
0.0809,-0.2169,0
0.0889,-0.221,-0.07
0.052,-0.1927,-0.07
0.0422,-0.1896,0.03
0.0641,-0.2051,0.06
0.0895,-0.2092,-0.01
0.0631,-0.1892,-0.08
0.0503,-0.1894,-0.09
0.0646,-0.1976,-0.02
0.0935,-0.2188,-0.06
0.1015,-0.2145,-0.09
0.0581,-0.1655,-0.06
0.0539,-0.1546,0.01
0.0547,-0.1759,0.03
0.0727,-0.2022,-0.03
0.0963,-0.2166,-0.07
0.0758,-0.185,-0.02
0.0518,-0.1623,0.04
0.0695,-0.1678,-0.01
0.0934,-0.1828,-0.09
0.1108,-0.1858,-0.05
0.1151,-0.1761,0.01
0.115,-0.1712,-0.01
0.1297,-0.1847,-0.05
0.1321,-0.2053,-0.04
0.1318,-0.2042,-0.02
0.1265,-0.1718,-0.06
0.1202,-0.1703,-0.12
0.1111,-0.2007,-0.09
0.1316,-0.2161,-0.04
0.1397,-0.174,-0.06
0.1194,-0.1366,-0.13
0.0907,-0.1471,-0.14
0.0953,-0.1718,-0.08
0.143,-0.1672,-0.07
0.1515,-0.1609,-0.12
0.1078,-0.1563,-0.15
0.0914,-0.1541,-0.1
0.1177,-0.1483,-0.09
0.1504,-0.1594,-0.11
0.1437,-0.1858,-0.08
0.1244,-0.1663,-0.05
0.1492,-0.1426,-0.05
0.1638,-0.1545,-0.11
0.1518,-0.1896,-0.09
0.1329,-0.1761,-0.04
0.1424,-0.1415,-0.06
0.1583,-0.1377,-0.13
0.154,-0.1754,-0.11
0.1409,-0.1513,0.06
0.1411,-0.1074,0.04
0.1453,-0.1026,-0.04
0.1389,-0.1355,-0.06
0.1501,-0.149,0.01
0.1665,-0.1077,0.03
0.1513,-0.0963,-0.11
0.1261,-0.1273,-0.13
0.1277,-0.145,-0.02
0.1393,-0.1194,0.07
0.1376,-0.1085,0.02
0.122,-0.1076,-0.1
0.1244,-0.1191,-0.06
0.1442,-0.1199,-0.01
0.1554,-0.1137,-0.03
0.1395,-0.0999,-0.12
0.1468,-0.1118,-0.07
0.1581,-0.1245,0.02
0.1566,-0.1242,0.03
0.1312,-0.1032,-0.08
0.1227,-0.099,-0.07
0.1352,-0.1018,0.03
0.1528,-0.0754,0.09
0.1516,-0.0623,0.04
0.1406,-0.046,0
0.1451,-0.0431,0
0.1852,-0.0336,0.03
0.1936,-0.018,0.06
0.1669,-0.0204,-0.03
0.1515,-0.0283,-0.05
0.1819,-0.0276,-0.04
0.2094,-0.011,0.01
0.1879,-0.004,0.02
0.1636,-0.0011,0.02
0.1552,0.0005,0.03
0.1914,-0.0143,0
0.1998,-0.03,-0.05
0.186,-0.0202,-0.03
0.1644,-0.0129,-0.03
0.1755,-0.009,-0.01
0.215,0.0042,0.02
0.2254,0.0192,0.03
0.1992,0.0099,-0.09
0.1961,-0.0009,-0.11
0.2141,0.0113,-0.05
0.2281,0.0383,0.04
0.2241,0.0688,-0.02
0.2228,0.0645,-0.08
0.2345,0.0575,-0.03
0.2437,0.0757,0.04
0.2473,0.0862,0.01
0.2441,0.0875,-0.07
0.2565,0.075,-0.07
0.2567,0.0775,0.02
0.2468,0.1006,0.11
0.2369,0.1213,0.01
0.2404,0.1236,-0.07
0.2385,0.1313,0.01
0.2305,0.1397,0.09
0.2199,0.1483,0.04
0.2233,0.1437,-0.05
0.2308,0.1565,0.03
0.2242,0.1634,0.12
0.2149,0.1632,0.06
0.205,0.1617,-0.02
0.2,0.1686,0.01
0.2049,0.1805,0.07
0.2237,0.179,0.06
0.2258,0.1687,0.03
0.2075,0.1532,0.11
0.2074,0.1485,0.14
0.2119,0.1571,0.04
0.2007,0.1513,-0.03
0.1731,0.1227,0.06
0.1602,0.1249,0.13
0.1677,0.139,0.06
0.1698,0.1454,-0.04
0.1492,0.1254,-0.05
0.1287,0.1184,0.02
0.1353,0.1225,-0.02
0.1509,0.1366,-0.07
0.1497,0.1331,-0.02
0.1326,0.119,0.04
0.1244,0.1153,0
0.1339,0.1227,-0.08
0.1434,0.1368,-0.02
0.141,0.1361,0.05
0.1355,0.135,-0.08
0.1451,0.1446,-0.13
0.1492,0.1472,-0.02
0.1411,0.1349,0.05
0.1359,0.1334,-0.03
0.1511,0.1473,-0.1
0.1565,0.1552,0
0.1344,0.1335,0.14
0.1122,0.1047,0.04
0.1097,0.1058,-0.05
0.114,0.1294,-0.03
0.1246,0.1574,0.03
0.1121,0.1399,0.02
0.0826,0.0976,-0.04
0.0834,0.0981,0.02
0.0968,0.1221,0.06
0.1148,0.1407,0
0.1185,0.1392,-0.09
0.0969,0.115,-0.01
0.0916,0.123,0.12
0.0875,0.1593,0.11
0.0789,0.1638,-0.01
0.0474,0.1633,-0.04
0.0312,0.161,0.05
0.04,0.179,0.11
0.0533,0.1867,0.01
0.028,0.189,-0.04
0.014,0.1986,0.01
0.0298,0.2074,0.07
0.0521,0.2005,0
0.045,0.2019,-0.06
0.0112,0.2051,0.03
0.0169,0.207,0.1
0.0525,0.1923,0.06
0.064,0.1848,-0.03
0.0537,0.1951,-0.03
0.0146,0.2173,0.05
0.0057,0.2215,0.09
0.0232,0.1845,0
0.039,0.1785,-0.04
0.021,0.185,-0.01
-0.002,0.2052,0.02
-0.033,0.2133,-0.02
-0.0492,0.2159,-0.06
-0.0476,0.1982,-0.07
-0.0407,0.2196,-0.07
-0.0427,0.2383,-0.09
-0.0533,0.2171,-0.06
-0.0696,0.2117,0
-0.0644,0.2242,0
-0.0476,0.2466,-0.04
-0.0715,0.2439,-0.08
-0.1092,0.2268,-0.02
-0.0984,0.226,0.02
-0.0701,0.2274,-0.01
-0.0959,0.2092,-0.04
-0.1474,0.1879,-0.08
-0.1414,0.2147,-0.07
-0.1107,0.2183,0.01
-0.1216,0.1842,0.01
-0.1511,0.1579,0
-0.1552,0.1785,0.01
-0.1473,0.2209,0.01
-0.1624,0.2116,-0.02
-0.1721,0.1674,0.01
-0.156,0.1897,0.02
-0.1386,0.2197,0.03
-0.1674,0.21,0.02
-0.1961,0.1775,-0.02
-0.1862,0.1886,-0.01
-0.1631,0.2158,0.02
-0.1561,0.23,0.03
-0.1724,0.195,-0.01
-0.1879,0.1727,-0.06
-0.1595,0.191,-0.03
-0.1287,0.213,0.01
-0.1483,0.1934,0.01
-0.1789,0.1598,-0.01
-0.1781,0.1808,-0.01
-0.1574,0.2082,0.04
-0.1653,0.156,0.07
-0.1768,0.1208,0.05
-0.1701,0.1339,0.03
-0.1598,0.1724,0.02
-0.1834,0.1618,0.02
-0.2063,0.1338,0.01
-0.1774,0.1471,0
-0.1524,0.1852,0
-0.1785,0.1818,0.02
-0.1989,0.1491,0.03
-0.1843,0.1575,0.01
-0.1578,0.1798,0
-0.1795,0.1686,0
-0.1906,0.125,0.01
-0.1392,0.1348,0.04
-0.1192,0.1661,0.06
-0.1544,0.1566,0.04
-0.1643,0.1225,-0.03
-0.1304,0.1071,-0.01
-0.0922,0.1279,0.03
-0.1281,0.1286,0.02
-0.1566,0.0997,0.01
-0.1064,0.0824,0
-0.0687,0.0977,0.01
-0.0876,0.0977,0.01
-0.1403,0.0941,0.01
-0.1381,0.1126,-0.01
-0.1124,0.0721,0.01
-0.1246,0.0313,0.05
-0.1545,0.025,0.02
-0.1585,0.0351,-0.02
-0.1457,0.0385,-0.01
-0.1481,0.02,0.05
-0.1669,0.0143,0.03
-0.1855,0.0213,-0.05
-0.1656,0.0191,-0.02
-0.1584,-0.0052,0.06
-0.175,-0.002,0.05
-0.1816,0.018,-0.04
-0.1604,0.0286,-0.06
-0.1466,0.0132,0.01
-0.16,-0.0154,0.07
-0.193,-0.0133,0.04
-0.1695,0.0003,-0.07
