1,2,3,4
53.922,29.584,64.53,28.15
61.153,35.575,66.537,11.86
61.637,19.365,70.688,0.1
53.769,0.808,67.164,11.2
54.129,6.571,58.151,18.9
62.63,15.881,58.719,3.78
62.706,4.9,63.75,-4.96
55.302,-5.686,64.812,4.71
54.924,1.49,57.711,14.59
59.91,13.411,57.035,6.91
66.014,2.034,62.304,-3.93
50.459,-6.709,65.382,6.62
43.345,-1.627,58.691,14.2
46.956,8.626,55.627,7.6
53.366,12.489,57.362,-4.46
56.905,2.445,64.353,4.76
56.931,5.379,64.84,12.96
61.479,14.997,54.089,3.43
66.387,10.122,51.092,-8.19
60.887,-3.437,57.155,1.75
49.606,5.581,58.682,12.84
48.279,14.941,42.255,0.73
53.832,7,39.853,-7.35
60.76,-3.936,46.594,1.62
47.27,-0.24,53.76,9.49
44.926,10.687,52.24,0.33
50.498,5.171,40.923,-11.06
56.823,-6.56,41.386,-4.6
59.601,-0.695,46.831,5.26
53.757,12.728,56.45,-6.02
56.492,0.823,52.56,-16.26
62.168,-9.796,38.467,-8.97
62.482,-3.681,35.956,4.07
57.783,6.424,43.196,-5.15
61.341,-3.534,47.962,-14.57
64.897,-12.919,38.352,-5.2
58.069,-8.507,34.592,-3.13
53.558,-0.172,41.183,-15.4
57.708,-9.302,49.925,-22.52
62.661,-19.627,42.947,-8.86
46.588,-11.339,33.666,3.47
43.1,3.626,36.603,-6.11
48.36,-3.349,43.629,-13.88
57.089,-13.245,46.839,-2.62
60.274,-14.213,35.818,9.12
47.203,-6.596,33.373,3.48
38.334,-13.124,40.439,-5.46
43.949,-18.038,47.842,1.86
49.832,-8.22,48.489,-0.23
47.305,1.682,38.491,-10.87
38.124,-3.247,40.547,-20.56
39.117,-17.828,45.783,-14.77
47.663,-29.208,43.793,-23.47
45.6,-20.002,25.597,-31.28
32.824,-15.043,24.707,-32
32.051,-23.781,34.755,-20.08
37.906,-31.471,41.486,-25.71
41.099,-26.449,30.55,-34.99
36.882,-28.727,22.408,-41.58
39.402,-40.17,27.234,-28.48
46.224,-46.554,35.384,-24.7
45.689,-32.989,38.634,-30.58
31.719,-24.542,28.222,-38.03
27.788,-26.256,28.686,-33.95
36.64,-37.761,37.024,-33.73
44.535,-43.657,39.313,-40.11
33.743,-34.371,30.175,-46.21
24.927,-28.017,31.884,-46.21
28.335,-34.39,37.511,-46.63
34.943,-46.603,25.333,-51.43
24.727,-52.904,19.016,-60.35
16.907,-39.5,23.833,-61.63
21.219,-34.826,28.038,-59.23
30.364,-41.556,20.042,-62.39
24.157,-49.391,19.253,-65.39
16.698,-59.115,27.722,-66.32
22.046,-44.968,30.45,-70.18
31.44,-44.811,18.846,-75.65
18.945,-51.705,11.936,-73.79
12.111,-58.038,18.846,-61.44
20.041,-62.305,25.405,-59.63
27.869,-68.076,11.939,-64.17
18.483,-69.59,6.916,-69.59
6.074,-63.778,17.765,-68.21
9.789,-65.185,26.019,-61.57
